Date,Open,High,Low,Close,AdjClose
2009-09-30,106.3600,106.4600,104.6200,105.5900,78.3801
2009-10-01,103.0000,105.7300,102.9500,102.9700,76.4353
2009-10-02,102.0200,103.1000,101.9900,102.4900,76.0790
2009-10-05,102.9000,104.3200,102.6000,104.0200,77.2147
2009-10-06,104.7700,106.1100,104.7100,105.5100,78.3207
2009-10-07,105.2700,105.9100,105.0700,105.8000,78.5360
2009-10-08,106.5500,107.1700,105.8500,106.6100,79.1373
2009-10-09,106.6400,107.2600,106.3600,107.2600,79.6198
2009-10-12,107.7600,108.0900,107.2800,107.6800,79.9315
2009-10-13,107.3900,107.7100,106.7600,107.4600,79.7682
2009-10-14,108.7200,109.4200,107.4200,109.3100,81.1415
2009-10-15,108.7800,109.7100,108.7300,109.7100,81.4384
2009-10-16,108.8000,109.2700,108.2300,108.8900,80.8297
2009-10-19,109.0700,110.1300,108.7300,109.7900,81.4978
2009-10-20,109.9500,109.9900,108.6800,109.2100,81.0673
2009-10-21,109.0400,110.3100,108.1500,108.2300,80.3398
2009-10-22,108.1900,109.6800,107.5000,109.3300,81.1564
2009-10-23,109.6900,109.7600,107.6300,108.0800,80.2285
2009-10-26,108.2000,109.3100,106.6100,106.9100,79.3600
2009-10-27,107.0300,107.3900,106.1600,106.4200,78.9962
2009-10-28,106.1500,106.4800,104.3500,104.4100,77.5042
2009-10-29,105.1900,106.8600,104.9400,106.6500,79.1670
2009-10-30,106.3000,106.6200,103.4400,103.5600,76.8732
2009-11-02,104.1300,105.4100,103.0800,104.3200,77.4374
2009-11-03,103.7400,104.8000,103.5400,104.6500,77.6823
2009-11-04,105.5100,106.3300,104.6500,104.9200,77.8828
2009-11-05,105.6600,106.8800,105.4400,106.8500,79.3155
2009-11-06,106.2600,107.4000,106.0500,107.1300,79.5233
2009-11-09,107.9500,109.6300,107.8700,109.5700,81.3345
2009-11-10,109.3100,109.9300,108.9700,109.5900,81.3493
2009-11-11,110.3100,110.8200,109.6200,110.1500,81.7650
2009-11-12,110.0000,110.5700,108.7500,109.0300,80.9337
2009-11-13,109.3100,110.0900,108.7500,109.6200,81.3716
2009-11-16,110.3800,111.6900,110.3200,111.2100,82.5519
2009-11-17,110.9200,111.3900,110.5000,111.3400,82.6484
2009-11-18,111.2600,111.4300,110.5700,111.2700,82.5965
2009-11-19,110.5100,111.3100,109.1300,109.8200,81.5201
2009-11-20,109.2500,109.7600,109.0100,109.4300,81.2306
2009-11-23,110.7200,111.7400,110.6000,110.8200,82.2624
2009-11-24,111.0000,111.2000,110.0100,110.9900,82.3885
2009-11-25,111.1700,111.5000,110.8200,111.3800,82.6781
2009-11-27,108.4000,110.3200,108.2900,109.5700,81.3345
2009-11-30,109.4800,110.2000,108.1200,109.9400,81.6091
2009-12-01,110.9200,111.6600,110.7300,111.3000,82.6187
2009-12-02,111.2800,112.0100,110.9200,111.2500,82.5816
2009-12-03,111.5500,112.1800,110.2900,110.3800,81.9358
2009-12-04,111.8400,112.3800,110.0400,111.0100,82.4034
2009-12-07,110.9100,111.5300,110.4900,110.8400,82.2772
2009-12-08,110.0400,110.7700,109.2700,109.6100,81.3642
